Pregunta,Malas,Totales,Porcentaje
 Presiona la letra h  ,3,5,0.6
 Presiona la letra c  ,5,7,0.714285714286
 Presiona la letra i  ,1,4,0.25
 Presiona la letra ̱  ,3,6,0.5
 Presiona la letra j  ,1,8,0.125
 Presiona la letra e  ,7,10,0.7
 Presiona la letra b  ,2,5,0.4
 Presiona la letra k  ,0,2,0.0
 Presiona la letra q  ,5,7,0.714285714286
 Presiona la letra l  ,0,2,0.0
 Presiona la letra y griega  ,4,5,0.8
 Presiona la letra m  ,6,9,0.666666666667
 Presiona la letra s  ,4,11,0.363636363636
 Presiona la letra n  ,4,8,0.5
 Presiona la letra p  ,3,10,0.3
 Presiona la letra o  ,6,7,0.857142857143
 Presiona la letra z  ,6,12,0.5
 Presiona la letra u  ,5,10,0.5
 Presiona la letra r  ,5,5,1.0
 Presiona la letra doble b  ,5,9,0.555555555556
 Presiona la letra t  ,2,3,0.666666666667
 Presiona la letra g  ,6,8,0.75
 Presiona la letra d  ,0,5,0.0
 Presiona la letra v  ,3,7,0.428571428571
 Presiona la letra x  ,2,7,0.285714285714
 Presiona la letra a  ,2,4,0.5
 Presiona la letra f  ,2,4,0.5
